,TN,TSCM,TEFF,TPEX,TCM,TEM,TEX,TEMRA
5_8S_rRNA,12.6742004077681,6.40921173047996,2.01326070739204,4.51269835711629,12.4367559544577,12.9801178839671,12.7452826445663,12.7879974785504
5S_rRNA,5.89567255819441,2.13367032940549,0.0818529187499988,1.69115657435627,5.85405327821375,6.15943879467714,6.40187381705483,6.43955814556529
7SK,13.8212469918665,8.84626918840885,4.13537472026812,10.1741233231253,15.6405769554934,15.1993875629764,14.3018142186583,15.0342635350555
A1BG,6.17767641437477,5.36104432035085,4.80514128127361,5.98260849318351,5.92290493778935,5.17698816509718,5.31183935763302,4.64700197807287
A1BG-AS1,6.15753240854317,5.63265488531562,6.28168809672517,5.97296465555252,5.64856324726695,5.22602298115965,5.45903015141168,4.75103977831179
A1CF,2.8862329322473,2.65119074145475,0.425656375889172,3.52304099618751,4.22517149464101,4.00832699691016,4.22049071550681,3.70822801733296
A2M,3.83867213641163,4.26746857088678,2.92576486407478,4.73135273333541,4.93280813488867,4.923205139632,4.82861440632542,4.92353242567504
A2M-AS1,3.40434673389745,4.369539067431,2.67871123663715,5.35168537944475,6.50203903383281,7.36666752255036,6.28658832992102,7.2383499202319
A2ML1,3.19510880048154,2.61542036880369,0.466535244748701,3.38823046049097,3.67102457000373,4.00796975226978,3.79693929818266,3.84308357393176
A2ML1-AS1,0.577499291722514,0.495042149097892,0,1.32877323708115,1.02968002757285,0.674260896188385,0.971721404026988,0.721255527654959
A2ML1-AS2,0.177853593501262,0.308413665657085,0,1.02007549211848,0.603462468439527,0.135496732987192,0.385797586227522,0.338621438937511
A2MP1,3.82385335979572,2.74380607818717,0.674357705734597,3.14872545600965,4.48226886945027,4.31378312708512,4.34379310363349,4.24796048544355
A3GALT2,6.28222771753535,2.62114381014409,0.414390590304604,1.17394123510463,6.21841624494547,6.78675552493566,7.11679288358935,6.88745795651297
A4GALT,4.8207522063251,3.06529691554106,0.479930873949324,3.88580105009357,5.518342336682,5.46635249669028,5.48422034386878,5.23161190700879
A4GNT,1.21913818581915,1.33148760505519,0.145509071102176,2.48766359906153,1.75750722145017,2.04214157806656,2.03724428526027,1.30915931541974
AA06,1.04744957092408,0.806792382689194,0.0853993862079035,1.18536765133626,1.39792882849609,1.28752576088733,1.48706555765195,1.0135914250935
AAAS,6.66053357644617,7.32693567565708,7.87393888335454,7.89837478571781,6.22477137242247,6.19469223858301,6.23325627272104,6.14614541143456
AACS,7.27433727176679,7.06690489965384,6.77334283422664,8.12308321584675,7.29536027860562,6.97747015185286,7.02546174581095,6.89065406708279
AACSP1,3.67740004804004,2.62487545861118,1.11024734692954,3.05978365768741,4.21066640865305,4.10727412963684,4.57745500451902,3.87336080389965
AADAC,0.696046318651243,1.02650103413462,0,1.69690401686119,1.49173168136094,1.49234206925205,1.71133807900702,1.27606810952523
AADACL2,2.1752056704313,1.80569594513338,0.418978934034247,2.89253812395599,2.93158243604957,2.92243734391147,2.95921077044782,2.78735652305591
